unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series
953331550,2016-01-11,2023-02-20,371.0,372,129.0,34.7,16,0,1,1,0
9533315501,2016-10-24,2023-02-27,331.0,332,174.0,52.4,12,0,1,1,0
953331750,2016-01-04,2023-02-20,372.0,373,91.0,24.4,39,0,1,1,0
9533317501,2016-01-04,2023-02-27,373.0,374,67.0,17.9,18,1,1,1,1
9534294501,2016-01-04,2023-01-30,369.0,370,205.0,55.4,11,0,1,1,0
963033331,2016-01-11,2023-02-27,372.0,373,92.0,24.7,23,0,1,1,0
9643444,2020-07-06,2023-02-20,137.0,138,52.0,37.7,22,0,1,1,0
966110301,2017-10-02,2023-02-20,281.0,282,55.0,19.5,33,1,1,1,1
97016702,2016-01-11,2016-04-18,14.0,15,1.0,6.7,10,1,0,0,0
97044102,2016-01-04,2016-10-31,43.0,44,25.0,56.8,17,0,0,0,0
999777,2016-01-18,2023-02-27,371.0,372,13.0,3.5,101,1,1,1,1
999888,2020-03-23,2023-02-27,153.0,154,34.0,22.1,20,0,1,1,0
999ZOPO,2017-04-24,2022-12-19,295.0,296,77.0,26.0,37,0,1,0,0
C134123200,2020-01-06,2022-12-19,154.0,155,80.0,51.6,9,0,1,0,0
C134258000,2022-11-28,2023-01-30,9.0,10,0.0,0.0,10,1,0,1,0
C342000700,2019-10-07,2020-06-22,37.0,38,11.0,28.9,23,0,0,0,0
T194161520,2022-08-29,2023-01-09,19.0,20,2.0,10.0,17,1,0,0,0
Y71110301,2022-05-02,2023-02-27,43.0,44,8.0,18.2,28,1,0,1,0
Y71126701,2022-01-03,2023-02-27,60.0,61,12.0,19.7,23,1,0,1,0
Y71127001,2022-01-10,2023-02-27,59.0,60,21.0,35.0,13,0,0,1,0
Y71144701,2022-01-17,2023-02-27,58.0,59,33.0,55.9,10,0,0,1,0
