ds,unique_id,y,cutoff,mean,random_walk,window_average,auto_arima,prophet
2022-05-23,00610101,4.356708826689592,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.3181610196119715,4.555699641542289
2022-05-30,00610101,4.127134385045092,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.3907963347735395,4.6119318701339935
2022-06-06,00610101,4.418840607796598,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.413447838033874,4.671173875069379
2022-06-13,00610101,5.236441962829949,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.442942996760765,4.691940184863584
2022-06-20,00610101,4.882801922586371,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.475048473088319,4.6567530691596
2022-06-27,00610101,4.007333185232471,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.505760776952261,4.596531944813454
2022-07-04,00610101,4.31748811353631,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.531736118118322,4.564045888605379
2022-07-11,00610101,3.871201010907891,2022-05-16,4.495123809336077,4.007333185232471,4.355210657132436,4.550590997337764,4.579290842209658
2022-07-18,00610101,3.912023005428146,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.203851044521578,4.566391588172022
2022-07-25,00610101,4.007333185232471,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.286817964821152,4.575659254230049
2022-08-01,00610101,4.110873864173311,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.345481851035073,4.480030266523542
2022-08-08,00610101,3.713572066704308,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.386961654471113,4.328070332652183
2022-08-15,00610101,3.1354942159291497,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.416291012004952,4.227581806983493
2022-08-22,00610101,4.007333185232471,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.437029085527266,4.2493863362354025
2022-08-29,00610101,4.983606621708336,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.451692471621581,4.372079357854514
2022-09-05,00610101,4.31748811353631,2022-07-11,4.491085545966162,3.871201010907891,4.26970605806576,4.462060594365462,4.511946564153983
2022-09-12,00610101,3.7612001156935624,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.400362752070153,4.59099840440386
2022-09-19,00610101,4.382026634673881,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.39534498573159,4.603648611328449
2022-09-26,00610101,3.8501476017100584,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.391864907641015,4.593737367079039
2022-10-03,00610101,3.7376696182833684,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.389451295149052,4.594267377935267
2022-10-10,00610101,3.6375861597263857,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.387777331200619,4.6098778277756916
2022-10-17,00610101,3.9318256327243257,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.386616351420316,4.622429863636104
2022-10-24,00610101,4.919980925828125,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.385811152448419,4.6123045462173895
2022-10-31,00610101,4.718498871295094,2022-09-05,4.471601378727699,4.31748811353631,4.110980534101567,4.3852527056990915,4.577473022687999
2022-11-07,00610101,4.6913478822291435,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.544356335902004,4.552156270062514
2022-11-14,00610101,3.1780538303479458,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.478591594632267,4.51385646172505
2022-11-21,00610101,3.2188758248682006,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.4344469307600285,4.5109225405783
2022-11-28,00610101,4.04305126783455,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.404814770566468,4.5234658645332475
2022-12-05,00610101,3.4657359027997265,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.384924146406817,4.490247029994694
2022-12-12,00610101,3.9512437185814275,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.371572540351904,4.376963702523864
2022-12-19,00610101,4.189654742026425,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.362610258282988,4.231296042371842
2022-12-26,00610101,4.997212273764115,2022-10-31,4.457432001378265,4.718498871295094,4.301972897393482,4.356594315365524,4.1572609382554
2022-05-23,00610101AC,0.6931471805599453,2022-05-16,1.5217092167182924,1.6094379124341003,1.5536520246055479,1.5384423303605397,1.149366293542108
2022-05-30,00610101AC,1.6094379124341003,2022-05-16,1.5217092167182924,1.6094379124341003,1.5536520246055479,1.5227654791212966,1.4810887784581293
