unique_id,ds,cutoff,y,AutoARIMA,AutoETS,DynamicOptimizedTheta,AutoTheta,ADIDA,CrostonClassic,IMAPA,WindowAverage
00610101AC,2022-07-10,2022-05-15,2.3978953,1.609438,1.5214468,1.6661425,1.6840032,1.6661539,1.6626492,1.6661539,1.553652
00610101AC,2022-07-17,2022-07-10,1.3862944,1.731479,1.5191844,1.5902334,1.598299,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-07-24,2022-07-10,1.3862944,2.1972246,1.5191844,1.5902334,1.5991052,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-07-31,2022-07-10,0.6931472,0.6931472,1.5191844,1.5902334,1.5999115,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-08-07,2022-07-10,0.0,1.3862944,1.5191844,1.5902334,1.6007177,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-08-14,2022-07-10,1.7917595,2.116229e-16,1.5191844,1.5902334,1.6015238,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-08-21,2022-07-10,1.609438,0.6931472,1.5191844,1.5902334,1.60233,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-08-28,2022-07-10,2.442347,2.3025851,1.5191844,1.5902334,1.6031362,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-09-04,2022-07-10,2.442347,0.6931472,1.5191844,1.5902334,1.6039424,1.5902383,1.5808208,1.5902383,1.4041928
00610101AC,2022-09-11,2022-09-04,0.6931472,1.3862944,1.5165915,1.590482,1.5965993,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-09-18,2022-09-04,1.3862944,1.3862944,1.5165915,1.590482,1.5972109,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-09-25,2022-09-04,0.6931472,1.609438,1.5165915,1.590482,1.5978224,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-10-02,2022-09-04,1.3862944,1.609438,1.5165915,1.590482,1.598434,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-10-09,2022-09-04,1.3862944,2.3025851,1.5165915,1.590482,1.5990455,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-10-16,2022-09-04,1.3862944,2.442347,1.5165915,1.590482,1.599657,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-10-23,2022-09-04,1.609438,2.1972246,1.5165915,1.590482,1.6002686,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-10-30,2022-09-04,1.609438,1.7917595,1.5165915,1.590482,1.6008801,1.5904841,1.5683836,1.5904841,2.071473
00610101AC,2022-11-06,2022-10-30,1.7917595,2.1972246,1.5007732,1.4425051,1.4440947,1.442506,1.4396068,1.442506,1.4978662
00610101AC,2022-11-13,2022-10-30,1.3862944,0.6931472,1.5007732,1.4425051,1.4442534,1.442506,1.4396068,1.442506,1.4978662
00610101AC,2022-11-20,2022-10-30,0.0,2.3025851,1.5007732,1.4425051,1.4444124,1.442506,1.4396068,1.442506,1.4978662
00610101AC,2022-11-27,2022-10-30,0.6931472,0.0,1.5007732,1.4425051,1.4445711,1.442506,1.4396068,1.442506,1.4978662
00610101AC,2022-12-04,2022-10-30,1.609438,0.6931472,1.5007732,1.4425051,1.44473,1.442506,1.4396068,1.442506,1.4978662
00610101AC,2022-12-11,2022-10-30,0.6931472,2.442347,1.5007732,1.4425051,1.444889,1.442506,1.4396068,1.442506,1.4978662
00610101AC,2022-12-18,2022-10-30,1.3862944,2.3978953,1.5007732,1.4425051,1.4450477,1.442506,1.4396068,1.442506,1.4978662
00610101AC,2022-12-25,2022-10-30,0.6931472,1.609438,1.5007732,1.4425051,1.4452066,1.442506,1.4396068,1.442506,1.4978662
00610101D,2022-05-22,2022-05-15,0.0,1.5426003,2.0633082,2.057568,2.057568,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-05-29,2022-05-15,1.7917595,1.603467,2.0633082,2.0575671,2.0575671,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-06-05,2022-05-15,2.3978953,1.4876854,2.0633082,2.057566,2.057566,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-06-12,2022-05-15,3.1780539,1.3445088,2.0633082,2.057565,2.057565,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-06-19,2022-05-15,0.0,1.4182992,2.0633082,2.0575638,2.0575638,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-06-26,2022-05-15,1.9459101,1.399843,2.0633082,2.0575628,2.0575628,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-07-03,2022-05-15,1.7917595,1.482978,2.0633082,2.0575616,2.0575616,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-07-10,2022-05-15,2.7080503,1.3281863,2.0633082,2.0575607,2.0575607,1.9791381,2.0570529,1.9791381,1.8475454
00610101D,2022-07-17,2022-07-10,2.5649493,1.789505,1.9308897,1.9207722,1.9207722,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-07-24,2022-07-10,2.5649493,1.6884664,1.9308897,1.9207698,1.9207698,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-07-31,2022-07-10,1.3862944,1.5311215,1.9308897,1.9207674,1.9207674,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-08-07,2022-07-10,2.3978953,1.7265366,1.9308897,1.9207649,1.9207649,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-08-14,2022-07-10,0.6931472,1.4137636,1.9308897,1.9207624,1.9207624,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-08-21,2022-07-10,0.0,1.5693799,1.9308897,1.9207599,1.9207599,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-08-28,2022-07-10,2.9957323,1.6195331,1.9308897,1.9207574,1.9207574,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-09-04,2022-07-10,1.7917595,1.640056,1.9308897,1.9207549,1.9207549,1.898675,1.9107581,1.898675,1.6114299
00610101D,2022-09-11,2022-09-04,0.0,1.8375385,1.8450605,1.8243388,1.8243388,1.7824173,1.8155609,1.7824173,1.3701597
00610101D,2022-09-18,2022-09-04,1.3862944,1.5317549,1.8450605,1.8243388,1.8243388,1.7824173,1.8155609,1.7824173,1.3701597
00610101D,2022-09-25,2022-09-04,2.3025851,1.6497213,1.8450605,1.8243388,1.8243388,1.7824173,1.8155609,1.7824173,1.3701597
00610101D,2022-10-02,2022-09-04,2.944439,1.673656,1.8450605,1.8243388,1.8243388,1.7824173,1.8155609,1.7824173,1.3701597
