,id,model,rmse,mae,wape_m
114,00661001,DynamicOptimizedTheta,5,4.4,23.0
115,00661001,AutoTheta,5,4.4,23.0
116,00661001,ADIDA,5,4.4,23.0
117,00661001,CrostonClassic,5,4.5,23.2
118,00661001,IMAPA,5,4.4,23.0
119,00661001,WindowAverage,6,4.4,25.4
120,00663901,AutoARIMA,9,7.2,33.7
121,00663901,AutoETS,9,7.2,33.4
122,00663901,DynamicOptimizedTheta,9,7.2,35.3
123,00663901,AutoTheta,9,7.3,35.7
124,00663901,ADIDA,9,7.2,35.3
125,00663901,CrostonClassic,9,7.1,37.6
126,00663901,IMAPA,9,7.2,35.3
127,00663901,WindowAverage,9,7.5,37.7
128,00681001,AutoARIMA,6,4.8,44.1
129,00681001,AutoETS,5,4.2,34.0
130,00681001,DynamicOptimizedTheta,5,4.2,32.1
131,00681001,AutoTheta,5,4.1,31.7
132,00681001,ADIDA,5,4.2,31.5
133,00681001,CrostonClassic,5,4.2,32.4
134,00681001,IMAPA,5,4.2,31.5
135,00681001,WindowAverage,5,4.2,31.9
136,00712001,AutoARIMA,1,1.0,55.5
137,00712001,AutoETS,1,1.0,56.3
138,00712001,DynamicOptimizedTheta,1,1.0,58.1
139,00712001,AutoTheta,1,1.0,62.2
140,00712001,ADIDA,1,1.0,58.1
141,00712001,CrostonClassic,1,1.0,50.5
142,00712001,IMAPA,1,1.0,58.1
143,00712001,WindowAverage,1,1.0,72.7
144,00719101,AutoARIMA,3,2.3,39.9
145,00719101,AutoETS,3,2.4,36.7
146,00719101,DynamicOptimizedTheta,3,2.3,41.2
147,00719101,AutoTheta,3,2.3,41.9
148,00719101,ADIDA,3,2.3,41.2
149,00719101,CrostonClassic,3,2.3,40.8
150,00719101,IMAPA,3,2.3,41.2
151,00719101,WindowAverage,3,2.4,61.3
152,01299601,AutoARIMA,6,4.4,43.6
153,01299601,AutoETS,6,5.9,92.1
154,01299601,DynamicOptimizedTheta,6,5.6,56.5
155,01299601,AutoTheta,6,5.6,56.8
156,01299601,ADIDA,6,5.7,88.7
157,01299601,CrostonClassic,6,5.9,90.3
158,01299601,IMAPA,6,5.7,88.7
159,01299601,WindowAverage,6,5.5,83.5
160,01716702,AutoARIMA,16,13.1,39.1
161,01716702,AutoETS,15,11.2,51.3
162,01716702,DynamicOptimizedTheta,16,11.2,54.9
163,01716702,AutoTheta,16,11.2,56.6
164,01716702,ADIDA,16,11.2,56.1
165,01716702,CrostonClassic,16,11.2,57.3
166,01716702,IMAPA,16,11.2,56.1
167,01716702,WindowAverage,16,11.2,62.0
168,01717002,AutoARIMA,7,4.8,57.4
169,01717002,AutoETS,6,4.3,76.8
170,01717002,DynamicOptimizedTheta,6,4.1,57.6
171,01717002,AutoTheta,6,4.1,56.5
172,01717002,ADIDA,6,4.2,58.0
173,01717002,CrostonClassic,6,4.1,56.2
174,01717002,IMAPA,6,4.2,58.0
175,01717002,WindowAverage,7,4.4,88.3
176,01744702,AutoARIMA,2,1.7,167.7
177,01744702,AutoETS,2,1.2,94.9
178,01744702,DynamicOptimizedTheta,2,1.3,109.9
179,01744702,AutoTheta,2,1.2,99.5
180,01744702,ADIDA,2,1.3,109.9
181,01744702,CrostonClassic,2,1.3,131.9
182,01744702,IMAPA,2,1.3,109.9
183,01744702,WindowAverage,2,1.4,125.4
184,02351501,AutoARIMA,8,6.8,27.1
185,02351501,AutoETS,7,5.7,26.8
186,02351501,DynamicOptimizedTheta,8,5.9,29.3
187,02351501,AutoTheta,7,5.9,28.9
188,02351501,ADIDA,8,5.9,29.3
189,02351501,CrostonClassic,8,5.9,29.7
190,02351501,IMAPA,8,5.9,29.3
191,02351501,WindowAverage,8,6.7,23.9
192,02352001C,AutoARIMA,8,6.6,57.7
193,02352001C,AutoETS,6,5.4,21.3
194,02352001C,DynamicOptimizedTheta,7,5.4,27.0
195,02352001C,AutoTheta,7,5.4,26.9
196,02352001C,ADIDA,7,5.4,27.0
197,02352001C,CrostonClassic,7,5.4,24.1
198,02352001C,IMAPA,7,5.4,27.0
199,02352001C,WindowAverage,7,5.6,26.9
200,02352001F,AutoARIMA,13,10.9,37.0
201,02352001F,AutoETS,13,10.6,36.4
202,02352001F,DynamicOptimizedTheta,13,10.7,36.8
203,02352001F,AutoTheta,13,10.7,36.8
204,02352001F,ADIDA,13,10.6,36.3
205,02352001F,CrostonClassic,12,10.2,30.9
206,02352001F,IMAPA,13,10.6,36.3
207,02352001F,WindowAverage,14,11.5,43.9
208,02418201,AutoARIMA,2,1.9,150.5
209,02418201,AutoETS,2,2.1,245.5
210,02418201,DynamicOptimizedTheta,2,2.0,214.1
211,02418201,AutoTheta,2,2.0,208.6
212,02418201,ADIDA,2,2.0,214.1
213,02418201,CrostonClassic,2,2.1,244.8
214,02418201,IMAPA,2,2.0,214.1
215,02418201,WindowAverage,3,2.1,272.5
216,030335NM,AutoARIMA,5,4.7,28.7
217,030335NM,AutoETS,5,4.3,25.7
218,030335NM,DynamicOptimizedTheta,5,4.7,30.0
219,030335NM,AutoTheta,5,4.7,31.5
220,030335NM,ADIDA,5,4.7,30.0
221,030335NM,CrostonClassic,5,4.7,30.0
222,030335NM,IMAPA,5,4.7,30.0
223,030335NM,WindowAverage,5,4.9,39.4
224,03043401,AutoARIMA,8,5.6,49.6
225,03043401,AutoETS,6,4.6,42.6
226,03043401,DynamicOptimizedTheta,6,4.8,53.9
227,03043401,AutoTheta,6,4.9,54.4
228,03043401,ADIDA,6,4.8,53.9
229,03043401,CrostonClassic,6,4.7,51.8
230,03043401,IMAPA,6,4.8,53.9
231,03043401,WindowAverage,7,5.4,66.0
232,03044401,AutoARIMA,2,1.8,49.6
233,03044401,AutoETS,2,1.8,44.1
234,03044401,DynamicOptimizedTheta,2,1.8,45.0
235,03044401,AutoTheta,2,1.8,45.1
236,03044401,ADIDA,2,1.8,45.0
237,03044401,CrostonClassic,2,1.8,46.8
238,03044401,IMAPA,2,1.8,45.0
239,03044401,WindowAverage,2,1.8,57.5
240,03045501,AutoARIMA,10,8.4,25.7
241,03045501,AutoETS,10,8.5,27.5
242,03045501,DynamicOptimizedTheta,10,8.5,27.5
243,03045501,AutoTheta,10,8.5,27.4
244,03045501,ADIDA,10,8.5,27.5
245,03045501,CrostonClassic,10,8.4,25.0
246,03045501,IMAPA,10,8.5,27.5
247,03045501,WindowAverage,10,8.3,27.4
248,03048701,AutoARIMA,3,2.3,73.6
249,03048701,AutoETS,2,2.0,35.0
250,03048701,DynamicOptimizedTheta,2,1.9,31.9
251,03048701,AutoTheta,2,1.9,31.9
252,03048701,ADIDA,2,1.9,31.9
253,03048701,CrostonClassic,2,1.9,31.7
254,03048701,IMAPA,2,1.9,31.9
255,03048701,WindowAverage,2,1.8,45.2
256,03411601,AutoARIMA,11,9.5,54.0
257,03411601,AutoETS,9,7.3,36.8
258,03411601,DynamicOptimizedTheta,10,8.2,45.3
259,03411601,AutoTheta,10,8.1,44.7
260,03411601,ADIDA,9,7.6,35.4
261,03411601,CrostonClassic,10,8.0,44.5
262,03411601,IMAPA,9,7.6,35.4
263,03411601,WindowAverage,11,8.9,51.0
264,03411601NM,AutoARIMA,5,4.4,39.9
265,03411601NM,AutoETS,4,3.5,40.3
266,03411601NM,DynamicOptimizedTheta,4,3.1,27.9
267,03411601NM,AutoTheta,4,3.2,29.4
268,03411601NM,ADIDA,4,3.1,27.9
269,03411601NM,CrostonClassic,4,3.1,27.9
270,03411601NM,IMAPA,4,3.1,27.9
271,03411601NM,WindowAverage,4,3.1,35.3
272,03412401,AutoARIMA,3,2.8,83.3
273,03412401,AutoETS,3,2.9,92.2
274,03412401,DynamicOptimizedTheta,3,2.7,71.2
275,03412401,AutoTheta,3,2.6,67.1
276,03412401,ADIDA,3,2.7,71.2
277,03412401,CrostonClassic,3,2.7,72.0
278,03412401,IMAPA,3,2.7,71.2
279,03412401,WindowAverage,4,3.7,85.9
280,03450101,AutoARIMA,12,10.7,51.8
281,03450101,AutoETS,10,8.7,62.5
282,03450101,DynamicOptimizedTheta,10,8.7,51.8
283,03450101,AutoTheta,10,8.7,51.8
284,03450101,ADIDA,10,9.2,54.3
285,03450101,CrostonClassic,10,8.4,54.8
286,03450101,IMAPA,10,9.2,54.3
287,03450101,WindowAverage,11,9.6,51.1
288,03450102,AutoARIMA,97,82.9,28.7
289,03450102,AutoETS,92,79.6,25.1
290,03450102,DynamicOptimizedTheta,92,79.6,25.1
291,03450102,AutoTheta,92,79.6,24.9
292,03450102,ADIDA,92,79.7,25.2
293,03450102,CrostonClassic,90,78.6,23.0
