,id,model,rmse,mae,wape_m
133,02418201,auto_arima,3,2.3,208.0
134,02418201,prophet,3,2.4,270.5
135,030335NM,mean,5,4.8,35.3
136,030335NM,random_walk,6,6.0,58.7
137,030335NM,window_average,5,4.9,38.5
138,030335NM,auto_arima,5,4.7,34.2
139,030335NM,prophet,5,4.8,35.4
140,03043401,mean,6,4.6,45.6
141,03043401,random_walk,9,7.8,85.8
142,03043401,window_average,7,5.4,69.2
143,03043401,auto_arima,6,4.6,45.6
144,03043401,prophet,6,4.6,43.5
145,03044401,mean,2,1.8,40.5
146,03044401,random_walk,3,2.3,89.6
147,03044401,window_average,2,1.8,57.7
148,03044401,auto_arima,2,1.8,41.0
149,03044401,prophet,2,1.8,40.6
150,03045501,mean,9,8.0,26.9
151,03045501,random_walk,10,9.2,30.8
152,03045501,window_average,9,8.1,30.9
153,03045501,auto_arima,9,8.1,27.3
154,03045501,prophet,9,8.0,27.1
155,03048701,mean,2,2.0,25.1
156,03048701,random_walk,3,2.5,88.3
157,03048701,window_average,2,1.8,39.3
158,03048701,auto_arima,2,2.0,25.1
159,03048701,prophet,2,1.9,23.8
160,03411601,mean,9,7.2,35.1
161,03411601,random_walk,10,8.9,45.6
162,03411601,window_average,11,8.7,50.8
163,03411601,auto_arima,9,7.0,33.5
164,03411601,prophet,9,7.3,35.5
165,03411601NM,mean,4,3.3,28.3
166,03411601NM,random_walk,7,6.1,92.4
167,03411601NM,window_average,4,3.1,31.9
168,03411601NM,auto_arima,4,3.0,26.1
169,03411601NM,prophet,4,3.3,28.1
170,03412401,mean,5,4.2,150.6
171,03412401,random_walk,4,3.1,50.2
172,03412401,window_average,4,3.6,85.6
173,03412401,auto_arima,3,2.5,76.0
174,03412401,prophet,5,4.3,152.0
175,03450101,mean,10,8.7,62.3
176,03450101,random_walk,14,12.2,85.1
177,03450101,window_average,11,9.7,50.9
178,03450101,auto_arima,10,8.7,62.3
179,03450101,prophet,9,8.6,61.6
180,03450102,mean,92,79.8,22.1
181,03450102,random_walk,121,99.5,48.2
182,03450102,window_average,96,81.0,23.2
183,03450102,auto_arima,87,77.4,18.5
184,03450102,prophet,92,80.6,19.5
185,03453420OR,mean,5,4.4,63.8
186,03453420OR,random_walk,6,5.9,86.0
187,03453420OR,window_average,5,4.3,54.5
188,03453420OR,auto_arima,5,4.4,75.5
189,03453420OR,prophet,5,4.5,64.8
190,03463430LV,mean,4,3.0,51.1
191,03463430LV,random_walk,3,2.8,41.7
192,03463430LV,window_average,3,2.7,33.4
193,03463430LV,auto_arima,4,3.0,51.1
194,03463430LV,prophet,4,2.9,50.0
195,03463701,mean,3,2.8,23.9
196,03463701,random_walk,4,3.6,34.9
197,03463701,window_average,3,2.8,23.0
198,03463701,auto_arima,3,2.8,23.9
199,03463701,prophet,3,2.7,22.7
200,03463702,mean,4,3.2,42.0
201,03463702,random_walk,5,4.3,53.9
202,03463702,window_average,4,2.9,38.0
203,03463702,auto_arima,4,2.9,32.2
204,03463702,prophet,4,3.3,45.9
205,03463706,mean,30,26.7,45.6
206,03463706,random_walk,29,23.4,31.8
207,03463706,window_average,26,21.7,32.6
208,03463706,auto_arima,24,20.2,24.4
209,03463706,prophet,34,29.9,53.9
210,03463707,mean,16,12.8,38.8
211,03463707,random_walk,18,14.0,46.1
212,03463707,window_average,16,12.3,39.0
213,03463707,auto_arima,16,12.4,36.4
214,03463707,prophet,16,12.9,41.0
215,03463901,mean,5,4.6,70.4
216,03463901,random_walk,6,5.3,68.4
217,03463901,window_average,5,4.4,77.2
218,03463901,auto_arima,5,4.4,76.2
219,03463901,prophet,5,4.5,66.6
220,03944401,mean,2,1.7,43.4
221,03944401,random_walk,3,2.3,97.9
222,03944401,window_average,2,1.7,31.1
223,03944401,auto_arima,2,1.7,34.5
224,03944401,prophet,2,1.7,44.2
225,06110301,mean,2,2.0,119.1
226,06110301,random_walk,3,1.8,89.5
227,06110301,window_average,2,1.8,100.5
228,06110301,auto_arima,2,1.8,95.2
229,06110301,prophet,2,2.0,114.8
230,06116201,mean,2,1.8,146.4
231,06116201,random_walk,2,1.5,74.4
232,06116201,window_average,2,1.2,71.4
233,06116201,auto_arima,2,1.6,109.0
234,06116201,prophet,2,1.9,182.8
235,06117001,mean,3,2.4,179.1
236,06117001,random_walk,3,2.3,110.7
237,06117001,window_average,2,1.5,39.1
238,06117001,auto_arima,2,1.6,58.1
239,06117001,prophet,3,2.5,191.7
240,06117201,mean,3,3.0,127.2
241,06117201,random_walk,3,2.4,91.5
242,06117201,window_average,4,3.5,120.9
243,06117201,auto_arima,4,3.2,122.7
244,06117201,prophet,3,3.0,128.1
245,06117209,mean,3,2.4,141.9
246,06117209,random_walk,2,1.9,95.3
247,06117209,window_average,2,1.5,53.3
248,06117209,auto_arima,2,1.9,86.4
249,06117209,prophet,3,2.5,142.1
250,06118201,mean,7,6.1,83.9
251,06118201,random_walk,6,4.8,56.1
252,06118201,window_average,5,3.8,41.5
253,06118201,auto_arima,5,3.4,32.4
254,06118201,prophet,6,5.9,83.0
255,06139301,mean,2,1.6,99.7
256,06139301,random_walk,2,1.1,61.0
257,06139301,window_average,2,1.5,95.3
258,06139301,auto_arima,2,1.5,76.2
259,06139301,prophet,2,1.6,96.5
260,06183901NM,mean,2,2.0,45.7
261,06183901NM,random_walk,5,4.0,217.3
262,06183901NM,window_average,2,1.8,35.3
263,06183901NM,auto_arima,2,2.2,67.3
264,06183901NM,prophet,2,2.1,47.3
265,06184902,mean,6,4.7,67.5
266,06184902,random_walk,9,7.3,97.6
267,06184902,window_average,6,4.4,47.0
268,06184902,auto_arima,6,4.7,65.8
269,06184902,prophet,6,4.7,67.7
270,06210301,mean,8,6.8,54.9
